date,TMIN,TMAX,TAVG
2008-12-15,-244.0,10298.0,5027.0
2008-12-16,-144.0,10146.0,5001.0
2008-12-17,-106.0,10149.0,5021.5
2008-12-18,-78.0,10108.0,5015.0
2008-12-19,-100.0,10108.0,5004.0
2008-12-20,-161.0,10173.0,5006.0
2008-12-21,-178.0,10278.0,5050.0
2008-12-22,-144.0,10054.0,4955.0
2008-12-23,-106.0,10024.0,4959.0
2008-12-24,-167.0,10125.0,4979.0
2008-12-25,-83.0,10010.0,4963.5
2008-12-26,-67.0,9963.0,4948.0
2008-12-27,-150.0,10119.0,4984.5
2008-12-28,-78.0,10166.0,5044.0
2008-12-29,-50.0,10166.0,5058.0
2008-12-30,-78.0,10159.0,5040.5
2008-12-31,-94.0,10159.0,5032.5
2009-01-01,-83.0,10051.0,4984.0
2009-01-02,-67.0,9993.0,4963.0
2009-01-03,-78.0,10075.0,4998.5
2009-01-04,-133.0,10254.0,5060.5
2009-01-05,-150.0,10071.0,4960.5
2009-01-06,-128.0,10044.0,4958.0
2009-01-07,-61.0,10030.0,4984.5
2009-01-08,-61.0,10061.0,5000.0
2009-01-09,-67.0,10152.0,5042.5
2009-01-10,-117.0,10251.0,5067.0
2009-01-11,-94.0,10210.0,5058.0
2009-01-12,-89.0,10254.0,5082.5
2009-01-13,-72.0,10196.0,5062.0
2009-01-14,-44.0,10220.0,5088.0
2009-01-15,-44.0,10278.0,5117.0
2009-01-16,-89.0,10234.0,5072.5
2009-01-17,-94.0,10251.0,5078.5
2009-01-18,-122.0,10254.0,5066.0
2009-01-19,-122.0,10244.0,5061.0
2009-01-20,-133.0,10234.0,5050.5
2009-01-21,-161.0,10142.0,4990.5
2009-12-15,-122.0,10217.0,5047.5
2009-12-16,-83.0,10190.0,5053.5
2009-12-17,-56.0,10193.0,5068.5
2009-12-18,-67.0,10234.0,5083.5
2009-12-19,-111.0,10203.0,5046.0
2009-12-20,-78.0,10176.0,5049.0
2009-12-21,-100.0,10098.0,4999.0
2009-12-22,-50.0,10054.0,5002.0
2009-12-23,-72.0,10129.0,5028.5
2009-12-24,-161.0,10203.0,5021.0
2009-12-25,-139.0,10142.0,5001.5
2009-12-26,-83.0,10176.0,5046.5
2009-12-27,-128.0,10257.0,5064.5
2009-12-28,-128.0,10295.0,5083.5
2009-12-29,-94.0,10156.0,5031.0
2009-12-30,-106.0,10129.0,5011.5
2009-12-31,-128.0,10240.0,5056.0
2010-01-01,-106.0,10237.0,5065.5
2010-01-02,-61.0,10193.0,5066.0
2010-01-03,-50.0,10261.0,5105.5
2010-01-04,-94.0,10271.0,5088.5
2010-01-05,-61.0,10159.0,5049.0
2010-01-06,-122.0,10224.0,5051.0
2010-01-07,-228.0,10362.0,5067.0
2010-01-08,-189.0,10298.0,5054.5
2010-01-09,-128.0,10254.0,5063.0
2010-01-10,-89.0,10264.0,5087.5
2010-01-11,-78.0,10284.0,5103.0
2010-01-12,-89.0,10217.0,5064.0
2010-01-13,-78.0,10142.0,5032.0
2010-01-14,-50.0,10203.0,5076.5
2010-01-15,-56.0,10227.0,5085.5
2010-01-16,-56.0,10135.0,5039.5
2010-01-17,-44.0,10108.0,5032.0
2010-01-18,-33.0,10078.0,5022.5
2010-01-19,-33.0,10027.0,4997.0
2010-01-20,-61.0,10003.0,4971.0
2010-01-21,-61.0,9997.0,4968.0
2010-12-15,-72.0,1400.0,664.0
2010-12-16,-117.0,10173.0,5028.0
2010-12-17,-111.0,10190.0,5039.5
2010-12-18,-111.0,10125.0,5007.0
2010-12-19,-72.0,10030.0,4979.0
2010-12-20,-67.0,10014.0,4973.5
2010-12-21,-94.0,10179.0,5042.5
2010-12-22,-78.0,10217.0,5069.5
2010-12-23,0.0,2018.0,1009.0
2010-12-24,-67.0,10257.0,5095.0
2010-12-25,-111.0,10264.0,5076.5
2010-12-26,-100.0,10139.0,5019.5
2010-12-27,-111.0,10166.0,5027.5
2010-12-28,-139.0,10112.0,4986.5
2010-12-29,-139.0,9881.0,4871.0
2010-12-30,-117.0,9949.0,4916.0
2010-12-31,-194.0,10102.0,4954.0
2011-01-01,-211.0,10190.0,4989.5
2011-01-02,-156.0,10169.0,5006.5
2011-01-03,-133.0,10176.0,5021.5
2011-01-04,-117.0,10166.0,5024.5
